iter	RMSE
0	0.9320079873
1	0.9248910195
2	0.9176050778
3	0.9113618653
4	0.9050252722
5	0.8992583163
6	0.8943226042
7	0.8896514443
8	0.8849804286
9	0.8808014933
10	0.8769783479
11	0.8733404957
12	0.8693900595
13	0.8655291324
14	0.862257197
15	0.8591804634
16	0.8564199428
17	0.8538515369
18	0.8511680577
19	0.8488046877
20	0.8458551636
21	0.8436034859
22	0.8414334813
23	0.8395121836
24	0.8370151075
25	0.8350726543
26	0.8328076844
27	0.8308418127
28	0.8291201438
29	0.8272390219
30	0.825806858
31	0.8244614087
32	0.8225302339
33	0.8207060192
34	0.8188533994
35	0.8175746377
36	0.8155714151
37	0.8137806657
38	0.8122422008
39	0.8110587129
40	0.8097791159
41	0.808536806
42	0.8074973529
43	0.8060141597
44	0.8044161013
45	0.803405201
46	0.8022663973
47	0.8012781626
48	0.7999543947
49	0.7991258821
50	0.798234554
51	0.7972813714
52	0.7964089049
53	0.7955492357
54	0.7947507108
55	0.7937665734
56	0.7926557342
57	0.7914955404
58	0.7907495546
59	0.7899273054
60	0.7890076222
61	0.7882924101
62	0.7875115278
63	0.7866617709
64	0.7855295262
65	0.784824264
66	0.784096914
67	0.7833456662
68	0.7827382451
69	0.7821053223
70	0.7815185821
71	0.780909901
72	0.7802978186
73	0.7795371532
74	0.7787949933
75	0.7782787103
76	0.7777015503
77	0.7768791092
78	0.7763679805
79	0.7758838992
80	0.775106521
81	0.7745851404
82	0.7737929504
83	0.7732556474
84	0.7727877504
85	0.7723026183
86	0.7718455427
87	0.7713438538
88	0.7708457913
89	0.7703734266
90	0.7698334886
91	0.7694452914
92	0.7688855514
93	0.7682470171
94	0.7677448139
95	0.7673325599
96	0.7668918151
97	0.7664242788
98	0.7659350043
99	0.765519785
100	0.7651831815
101	0.7646880822
102	0.7643392304
103	0.7639695964
104	0.7634927898
105	0.7630704702
106	0.7626812952
107	0.7621215208
108	0.7618030027
109	0.7614713046
110	0.7609260025
111	0.7605404769
112	0.7602407817
113	0.759589747
114	0.7592192126
115	0.7588690366
116	0.7583395684
117	0.7580498485
118	0.7576179077
119	0.7572211888
120	0.7569361758
121	0.7564931121
122	0.7561245232
123	0.7557414434
124	0.7552427587
125	0.7548342112
126	0.7544935347
127	0.7540870766
128	0.7538137128
129	0.7532861537
130	0.7530145072
131	0.7526770936
132	0.7523398293
133	0.7520506957
134	0.7517512136
135	0.7514561181
136	0.7510766219
137	0.7507250708
138	0.7504316319
139	0.7500232392
140	0.7497643637
141	0.7494831667
142	0.7491241632
143	0.748750117
144	0.7482968848
145	0.7479161996
146	0.7476826448
147	0.7474689819
148	0.7471295563
149	0.7468134204
150	0.7465735036
151	0.7463090555
152	0.7460142175
153	0.7457624682
154	0.7455350364
155	0.7452430188
156	0.7449402791
157	0.7446645493
158	0.7444643451
159	0.7441605633
160	0.743931968
161	0.7436594479
162	0.7434234307
163	0.7431835377
164	0.742829319
165	0.7425733764
166	0.7422375768
167	0.7420084241
168	0.7417971321
169	0.7415922568
170	0.7413275303
171	0.7411369082
172	0.7408676033
173	0.7405004278
174	0.7402239811
175	0.7397987422
176	0.7395666836
177	0.7393257272
178	0.7390937235
179	0.7388351588
180	0.7386216978
181	0.7384333842
182	0.7381504967
183	0.7379226614
184	0.7377296771
185	0.7374849134
186	0.7372811626
187	0.7370491667
188	0.7367101377
189	0.7364820721
190	0.7362593014
191	0.7360237852
192	0.7358169409
193	0.7355735917
194	0.7352656228
195	0.7350204014
196	0.7347289729
197	0.7345146299
198	0.7343046565
199	0.734026015
200	0.7336731708
201	0.7334115799
202	0.7331644296
203	0.7328030819
204	0.7325930371
205	0.7323805208
206	0.7321873836
207	0.7319347092
208	0.7317202489
209	0.7314687174
210	0.7311604924
211	0.7309718445
212	0.7307702858
213	0.7305643456
214	0.7303558174
215	0.7301549823
216	0.7298965168
217	0.7296750216
218	0.7294852693
219	0.7291987706
220	0.7289415479
221	0.7286728896
222	0.7284707309
223	0.7282958246
224	0.7280465151
225	0.7277134771
226	0.7274425202
227	0.7271782023
228	0.7269291752
229	0.7266091021
230	0.7264056504
231	0.7262357044
232	0.7260252349
233	0.7257581131
234	0.7255205069
235	0.7252341887
236	0.7249456976
237	0.724752963
238	0.7245303462
239	0.7242655772
240	0.7239185115
241	0.7235802402
242	0.7233735715
243	0.7231238919
244	0.7229452696
245	0.7226890934
246	0.722376522
247	0.7221005601
248	0.7217654372
249	0.7215286024
250	0.7213357283
251	0.721098569
252	0.7207874873
253	0.7204897612
254	0.7202788278
255	0.7199830111
256	0.7197303182
257	0.7194399766
258	0.7192023855
259	0.7189670477
260	0.7187704099
261	0.7185196673
262	0.7182716088
263	0.7180193613
264	0.7178383125
265	0.7175933168
266	0.7173747067
267	0.7170964704
268	0.7168061604
269	0.7165630972
270	0.7163471152
271	0.7160859101
272	0.7158401722
273	0.7156146419
274	0.7154117285
275	0.715197154
276	0.7150006303
277	0.7147653327
278	0.7144804023
279	0.7141907352
280	0.7140021582
281	0.713809877
282	0.7135497998
283	0.7133096509
284	0.7130416708
285	0.7127707129
286	0.7125367785
287	0.7123390605
288	0.7121496383
289	0.7119042467
290	0.7116760464
291	0.7114612986
292	0.7112163737
293	0.7109923605
294	0.7107591062
295	0.7105790103
296	0.7102994016
297	0.7100610629
298	0.7098642419
299	0.7096284666
300	0.7093647585
301	0.709179221
302	0.7089695572
303	0.7087201129
304	0.708531882
305	0.7082866299
306	0.7081048188
307	0.7079036774
308	0.7077243627
309	0.707473357
310	0.707237862
311	0.7069807244
312	0.7067253367
313	0.7065067714
314	0.7063036262
315	0.70607161
316	0.7058332657
317	0.7056440534
318	0.7054165893
319	0.7052383991
320	0.7050265019
321	0.7048134764
322	0.7046041108
323	0.7044051462
324	0.7042042806
325	0.7040244588
326	0.7038462343
327	0.7036765299
328	0.703521416
329	0.7032986729
330	0.7030769748
331	0.7028781254
332	0.7026699058
333	0.702484821
334	0.7023344391
335	0.7021424791
336	0.7019758561
337	0.7017972393
338	0.7015785305
339	0.7014023497
340	0.7012084167
341	0.7010287679
342	0.7007796969
343	0.7005516654
344	0.7003418413
345	0.7001177866
346	0.6999422577
347	0.6997666024
348	0.6995492874
349	0.6993542641
350	0.6991738151
351	0.698986346
352	0.6988064962
353	0.6986015433
354	0.6983979484
355	0.6982019532
356	0.6980257185
357	0.697850644
358	0.6976823601
359	0.6974898368
360	0.6972930599
361	0.697079158
362	0.6968594512
363	0.6966825537
364	0.6965081829
365	0.6963030438
366	0.6961678531
367	0.6959790321
368	0.6957247869
369	0.6955377719
370	0.6953674181
371	0.6951514941
372	0.6949884091
373	0.6948293692
374	0.6946355834
375	0.6944424014
376	0.6942332087
377	0.6940126676
378	0.6938300538
379	0.6936354235
380	0.6934453416
381	0.6933012507
382	0.693152893
383	0.692989452
384	0.6927603949
385	0.6925608565
386	0.6923463192
387	0.6921619878
388	0.6919981047
389	0.6917989337
390	0.6916209645
391	0.6914471157
392	0.691264826
393	0.6910875245
394	0.6909064532
395	0.6907376234
396	0.6905396588
397	0.6903826668
398	0.6902327149
399	0.69003225
400	0.6898649424
401	0.6897009817
402	0.6895179232
403	0.6893639795
404	0.6892145654
405	0.6890531439
406	0.6888905775
407	0.6886856123
408	0.6885070121
409	0.6883371188
410	0.6881436618
411	0.6879853253
412	0.6877936049
413	0.6875834876
414	0.6873892613
415	0.687194563
416	0.687030404
417	0.6868462563
418	0.6866764186
419	0.6864842305
420	0.6862726632
421	0.6860998252
422	0.685939806
423	0.6858038517
424	0.6856101883
425	0.6854556441
426	0.6852879448
427	0.6851100027
428	0.6849110353
429	0.6847482113
430	0.6845216521
431	0.6843034173
432	0.6841040568
433	0.6839206164
434	0.6837522263
435	0.6836172604
436	0.6834159044
437	0.6832296084
438	0.6830855676
439	0.6829183224
440	0.6827684099
441	0.6826233597
442	0.6824239245
443	0.6822642135
444	0.6820650935
445	0.6819147099
446	0.6817649471
447	0.6816066024
448	0.6814549089
449	0.6812551515
450	0.6811192995
451	0.6809113793
452	0.6807591169
453	0.6805920836
454	0.6804119765
455	0.680243745
456	0.6800891938
457	0.6799162477
458	0.6797998204
459	0.6796156519
460	0.6795038984
461	0.6793478411
462	0.6791956317
463	0.6790283402
464	0.6788939313
465	0.6787180335
466	0.6785369127
467	0.6784031447
468	0.6782552939
469	0.6780575979
470	0.6778979258
471	0.6777206019
472	0.6775688729
473	0.6774224128
474	0.6772854445
475	0.6770986082
476	0.6769342708
477	0.6768007724
478	0.6766444711
479	0.6764755498
480	0.6763108663
481	0.6761667546
482	0.6759576328
483	0.6758291142
484	0.6756768007
485	0.6754923237
486	0.6753414831
487	0.6751852159
488	0.6750383647
489	0.6748244943
490	0.6746749304
491	0.6745006856
492	0.6743319152
493	0.674152189
494	0.6739557271
495	0.6737837167
496	0.6736041772
497	0.6734689981
498	0.6733080561
499	0.673162609
500	0.6730035685
501	0.6728181553
502	0.6726426084
503	0.6724759545
504	0.6723162578
505	0.6721917123
506	0.6720400093
507	0.6718969062
508	0.6716888371
509	0.6715487516
510	0.6714030958
511	0.6712544814
512	0.6711074857
513	0.6709314326
514	0.6707400738
515	0.6705890341
516	0.6704611129
517	0.6702800821
518	0.6701370011
519	0.6699787951
520	0.669818722
521	0.6696731167
522	0.6695311495
523	0.6693868334
524	0.6692507772
525	0.6691229461
526	0.6689788525
527	0.6688314079
528	0.668672182
529	0.6685551013
530	0.6684123147
531	0.6682394937
532	0.6680744464
533	0.6678984828
534	0.6677424566
535	0.6675774773
536	0.6674550027
