iter	Passed	Remaining
0	205	205249
1	372	185682
2	527	175262
3	637	158803
4	731	145490
5	799	132464
6	882	125134
7	1001	124153
8	1094	120508
9	1193	118165
10	1291	116085
11	1408	115986
12	1495	113539
13	1608	113252
14	1744	114572
15	1846	113580
16	1936	111986
17	2017	110086
18	2096	108249
19	2173	106483
20	2244	104645
21	2321	103195
22	2394	101718
23	2471	100502
24	2551	99497
25	2636	98761
26	2731	98436
27	2808	97508
28	2880	96454
29	2956	95609
30	3032	94778
31	3117	94303
32	3193	93571
33	3270	92919
34	3342	92150
35	3417	91515
36	3493	90933
37	3569	90371
38	3651	89980
39	3747	89947
40	3825	89479
41	3904	89062
42	3992	88859
43	4096	89012
44	4218	89529
45	4356	90341
46	4461	90464
47	4613	91493
48	4722	91652
49	4829	91768
50	5018	93391
51	5334	97246
52	5488	98067
53	5588	97908
54	5686	97704
55	5779	97423
56	5879	97271
57	5975	97057
58	6079	96970
59	6170	96674
60	6268	96488
61	6353	96127
62	6454	95998
63	6550	95806
64	6646	95602
65	6748	95505
66	6850	95393
67	6949	95252
68	7049	95118
69	7145	94931
70	7234	94654
71	7316	94302
72	7391	93867
73	7467	93445
74	7547	93080
75	7623	92690
76	7701	92315
77	7779	91962
78	7872	91784
79	7940	91316
80	8013	90916
81	8100	90683
82	8180	90378
83	8246	89928
84	8313	89497
85	8384	89110
86	8453	88710
87	8525	88354
88	8604	88077
89	8672	87691
90	8740	87311
91	8816	87018
92	8889	86695
93	8962	86387
94	9045	86174
95	9119	85878
96	9192	85573
97	9268	85309
98	9345	85053
99	9415	84736
100	9481	84397
101	9549	84073
102	9613	83718
103	9683	83425
104	9747	83088
105	9816	82791
106	9882	82479
107	9955	82225
108	10023	81935
109	10092	81654
110	10159	81370
111	10233	81136
112	10306	80900
113	10386	80719
114	10453	80446
115	10534	80277
116	10615	80118
117	10691	79914
118	10773	79759
119	10841	79507
120	10913	79281
121	10983	79044
122	11047	78769
123	11114	78517
124	11186	78303
125	11249	78034
126	11333	77903
127	11412	77747
128	11489	77578
129	11565	77398
130	11632	77168
131	11692	76886
132	11755	76632
133	11826	76433
134	11885	76153
135	11958	75972
136	12029	75776
137	12101	75592
138	12168	75376
139	12241	75196
140	12302	74951
141	12364	74707
142	12435	74527
143	12506	74344
144	12577	74163
145	12645	73965
146	12701	73704
147	12764	73483
148	12825	73254
149	12891	73054
150	12958	72859
151	13016	72620
152	13083	72431
153	13147	72226
154	13229	72124
155	13307	71995
156	13383	71859
157	13468	71777
158	13560	71723
159	13634	71579
160	13708	71435
161	13780	71286
162	13849	71118
163	13932	71020
164	14009	70896
165	14083	70758
166	14153	70598
167	14230	70475
168	14296	70295
169	14372	70169
170	14444	70026
171	14510	69854
172	14587	69733
173	14661	69600
174	14731	69448
175	14813	69352
176	14881	69195
177	14952	69048
178	15025	68917
179	15100	68790
180	15208	68814
181	15306	68796
182	15392	68717
183	15495	68719
184	15570	68596
185	15658	68528
186	15772	68572
187	15854	68479
188	15929	68352
189	15997	68198
190	16078	68103
191	16173	68064
192	16264	68006
193	16336	67873
194	16406	67727
195	16479	67599
196	16553	67473
197	16639	67399
198	16726	67327
199	16812	67249
200	16902	67191
201	17007	67188
202	17113	67189
203	17201	67119
204	17317	67156
205	17423	67155
206	17572	67317
207	17674	67298
208	17744	67157
209	17819	67033
210	17910	66975
211	17984	66849
212	18057	66719
213	18131	66596
214	18227	66552
215	18294	66404
216	18367	66277
217	18436	66136
218	18526	66068
219	18615	66001
220	18711	65957
221	18804	65901
222	18883	65797
223	18953	65661
224	19028	65542
225	19101	65419
226	19193	65359
227	19263	65225
228	19337	65106
229	19426	65036
230	19496	64904
231	19568	64778
232	19645	64669
233	19719	64552
234	19790	64425
235	19873	64335
236	19952	64234
237	20025	64115
238	20105	64017
239	20179	63901
240	20255	63790
241	20345	63726
242	20413	63591
243	20481	63458
244	20556	63348
245	20629	63231
246	20714	63148
247	20787	63032
248	20871	62949
249	20951	62854
250	21074	62886
251	21239	63043
252	21386	63144
253	21466	63048
254	21542	62938
255	21614	62817
256	21702	62743
257	21779	62637
258	21856	62532
259	21932	62423
260	22013	62329
261	22090	62225
262	22161	62102
263	22233	61985
264	22296	61840
265	22385	61770
266	22457	61653
267	22542	61570
268	22628	61491
269	22722	61433
270	22813	61368
271	22915	61332
272	22999	61248
273	23079	61151
274	23143	61015
275	23225	60925
276	23298	60812
277	23381	60724
278	23463	60635
279	23539	60529
280	23610	60411
281	23680	60292
282	23854	60435
283	23966	60422
284	24103	60469
285	24209	60439
286	24320	60421
287	24404	60333
288	24471	60205
289	24553	60113
290	24633	60017
291	24716	59928
292	24803	59848
293	24881	59748
294	24967	59668
295	25045	59568
296	25125	59472
297	25224	59421
298	25313	59347
299	25418	59309
300	25498	59214
301	25585	59135
302	25675	59061
303	25761	58981
304	25845	58894
305	25958	58872
306	26055	58816
